Id,SalePrice
1461,118723.7422
1462,174308.125
1463,189844.5469
1464,182739.2188
1465,182865.5
1466,173236.2344
1467,148867.5313
1468,154896.0313
1469,161264.6563
1470,109554.1328
1471,215657.7969
1472,76060.61719
1473,95459.64844
1474,125668.9453
1475,98415.38281
1476,288978.4375
1477,210053.5938
1478,266561.125
1479,238063.5
1480,502474.625
1481,282293.2188
1482,189447.3594
1483,153566.0313
1484,161671.8125
1485,161047.9531
1486,189116.5
1487,332721.0313
1488,228502.6094
1489,168059.3281
1490,260208.1875
1491,185808.1094
1492,92105.4375
1493,156375.2188
1494,262724.6563
1495,276398.5313
1496,246304.7813
1497,176577.9063
1498,136060.1094
1499,135885.0313
1500,140502.0781
1501,164459.125
1502,138901.5
1503,302798.25
1504,219406.1406
1505,235756.8594
1506,181637.7188
1507,289951.0938
1508,170775.4688
1509,139163.2656
1510,141458.8594
1511,148196.7344
1512,190358.6563
1513,128156.875
1514,158391.3281
1515,188842.0781
1516,128408.8359
1517,150131.2344
1518,153773.8906
1519,225213.3906
1520,128339.25
1521,138123.125
1522,173267.8125
1523,110178.3828
1524,104469.9297
1525,106773.9922
1526,109218.1172
1527,101362.6484
1528,101252.2969
1529,134139.25
1530,150484.8906
1531,129649.0391
1532,89819.97656
1533,177307.8906
1534,111855.0156
1535,160723.7188
1536,96273.02344
1537,92442.96875
1538,135698.9844
1539,172527.125
1540,146305.875
1541,134751.4531
1542,138817.8281
1543,172825.5938
1544,82117.66406
1545,104143.1797
1546,114721.0859
1547,121542.2188
1548,112240.875
1549,108985.5391
1550,143353.2813
1551,124874.0547
1552,141179.2656
1553,134871.2969
1554,101952.1172
1555,161963.75
1556,101284.0625
1557,118230.6563
1558,104303.7031
1559,107785.2969
1560,148090.0625
1561,139309.1406
1562,112650.3672
1563,112998.3047
1564,179510.7969
1565,161493.3125
1566,188663.5938
1567,85456.71875
1568,257792.7344
1569,136412.1094
1570,116399.2188
1571,105070.7734
1572,136541.1875
1573,208616.9375
1574,127566.6719
1575,241963.9844
1576,259435.1875
1577,163716.8438
1578,130647.8984
1579,136400.5156
1580,178689.9375
1581,147472.7188
1582,108689.5391
1583,360565.3125
1584,215161.4375
1585,138948.3438
1586,71549.32813
1587,98789.30469
1588,137638.5156
1589,109773.2109
1590,121822.2188
1591,85657.40625
1592,126760.7891
1593,105751.8359
1594,169921.0625
1595,133340.9063
1596,189729.8438
1597,201950.625
1598,168250.0781
1599,171180.4531
1600,169880.8438
1601,76152.58594
1602,125819.2734
1603,86246.50781
1604,285029.8438
1605,226285.7656
1606,147014.125
